task,agent,seed,simple_regret,campaign_cash,cumulative_regret,churn,gain,backslide,wasted_fraction,wasted_rounds,committed_rounds,validity_rate,n_designs,n_valid,unit_days_used,parallel_utilisation,n_rejections
T2,random_spread,7,0.010941643124447648,-483.69999259257213,802.9924626393245,nan,0.0,0.0,1.0,1,1,0.0,2,0,5040,1.0,0
T2,random_spread,8,0.05373984361462507,-319.6294826420776,699.9419255531825,nan,0.0,0.0,1.0,1,1,0.0,2,0,5040,1.0,0
T2,random_spread,9,0.017921335392985738,-36.10832635545303,467.21197161519433,0.0,0.05955785413430609,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,random_spread,10,0.05522622107023569,-300.58040036503775,818.3439210431613,1.0,0.0,0.014302835207520598,1.0,1,1,0.0,2,0,5040,1.0,0
T2,random_spread,11,0.024176092098687013,-163.75172328275454,665.1723744262285,1.0,0.0,0.001752455567262029,1.0,1,1,0.0,2,0,5040,1.0,0
T2,random_spread,12,0.056241674258196456,-134.17319443821077,768.4890345563483,nan,0.0,0.0,1.0,1,1,0.0,2,0,5040,1.0,0
T2,random_spread,13,0.05649568809434506,-290.185417742203,709.3099097699571,nan,0.0,0.0,1.0,1,1,0.0,2,0,4830,0.9583333333333334,0
T2,random_spread,14,0.015088521741655384,-381.3394081689205,621.8805129066927,0.0,0.06678833839900016,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,random_spread,15,0.0630928056342551,-26.41428421733663,473.2585041340843,nan,0.0,0.0,1.0,1,1,0.0,2,0,5040,1.0,0
T2,random_spread,16,0.06954826036308796,-383.3341486603899,764.7529553309218,1.0,0.0,0.023736087976254587,1.0,1,1,0.0,2,0,4830,0.9583333333333334,0
T2,random_spread,17,0.09316085023805976,-215.98787183437324,743.8880065209058,1.0,0.0,0.014786451703699799,1.0,1,1,0.0,2,0,5040,1.0,0
T2,random_spread,18,0.03196859307994886,-111.24771946111491,707.5741657514047,0.0,0.024827225227948786,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,random_spread,19,0.0558562704081442,-316.22856642049055,789.1633164848336,nan,0.0,0.0,1.0,1,1,0.0,2,0,4830,0.9583333333333334,0
T2,literature_prior,0,0.08699340430778303,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,1,0.045840437086647354,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,2,0.04729163927012155,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,3,0.04894508563574246,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,4,0.0462538746993726,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,5,0.047506510997752424,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,6,0.0652565717290281,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,7,0.06896425812862408,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,8,0.05668552371881072,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,9,0.057072370102791654,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,10,0.08387531673983702,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,11,0.06338130058516203,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,12,0.03616605877033788,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,13,0.06340776805242436,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,14,0.05130012797004477,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,15,0.04537620731673197,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,16,0.06363291472320595,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,17,0.04651484599269387,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,18,0.05168367860016113,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,literature_prior,19,0.07386395568672506,0.0,0.0,nan,nan,nan,nan,0,0,0.0,0,0,0,0.0,0
T2,prior_anchored,0,0.08699340430778303,-12.142938743196662,652.9456069201345,1.0,0.0,0.0012286306140059516,1.0,1,1,0.0,2,0,5040,1.0,0
T2,prior_anchored,1,0.045840437086647354,6.1889436541797505,516.6268530453833,0.0,0.018231169812527273,0.0,0.0,0,1,0.0,2,0,5040,1.0,0
T2,prior_anchored,2,0.05408611970613568,15.71113437898882,479.2667540310388,nan,0.0,0.0,1.0,1,1,0.0,2,0,5040,1.0,0
T2,prior_anchored,3,0.03851346842485903,-192.7395911348808,516.6132707046651,0.0,0.014136043621863999,0.0,0.0,0,1,0.0,2,0,4830,0.9583333333333334,0
